Iteration 0: BestViol=62139.5690 BestAff=3951 BestCompact=117234.07 CurScore=643243424.0705 BestScore=643243424.0705 Temp=32162171.20 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=5085.7020 BestAff=3844 BestCompact=154436.66 CurScore=72469943.3068 BestScore=72153456.6622 Temp=214006.08 NoImprove=2 Restarts=0 Time=33.68s
Iteration 2000: BestViol=3061.1100 BestAff=3818 BestCompact=151608.53 CurScore=51761708.5278 BestScore=51761708.5278 Temp=1423.99 NoImprove=19 Restarts=0 Time=67.86s
Iteration 3000: BestViol=1518.0440 BestAff=3811 BestCompact=150006.75 CurScore=36290946.7456 BestScore=36290946.7456 Temp=9.48 NoImprove=41 Restarts=0 Time=93.49s
Iteration 4000: BestViol=1041.0450 BestAff=3788 BestCompact=147755.25 CurScore=31392205.2519 BestScore=31392205.2519 Temp=0.06 NoImprove=79 Restarts=0 Time=119.99s
Iteration 5000: BestViol=913.5790 BestAff=3792 BestCompact=147571.87 CurScore=30139361.8665 BestScore=30139361.8665 Temp=0.00 NoImprove=132 Restarts=0 Time=138.06s
Iteration 6000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=234139983.1509 BestScore=30139229.2999 Temp=10506293.79 NoImprove=177 Restarts=1 Time=150.93s
Iteration 7000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=274329914.5040 BestScore=30139229.2999 Temp=13249391.27 NoImprove=175 Restarts=3 Time=182.78s
Iteration 8000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=170381277.3641 BestScore=30139229.2999 Temp=11837990.12 NoImprove=173 Restarts=5 Time=219.03s
Iteration 9000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=114066220.1204 BestScore=30139229.2999 Temp=12438915.01 NoImprove=171 Restarts=7 Time=255.68s
Iteration 10000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=60947966.3612 BestScore=30139229.2999 Temp=7720631.81 NoImprove=169 Restarts=9 Time=292.79s
Iteration 11000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=243456044.5198 BestScore=30139229.2999 Temp=13899005.34 NoImprove=167 Restarts=11 Time=329.41s
Iteration 12000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=196236898.8659 BestScore=30139229.2999 Temp=11654186.05 NoImprove=165 Restarts=13 Time=367.18s
Iteration 13000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=135904194.7710 BestScore=30139229.2999 Temp=9704925.54 NoImprove=163 Restarts=15 Time=404.53s
Iteration 14000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=73568293.4973 BestScore=30139229.2999 Temp=9068489.25 NoImprove=161 Restarts=17 Time=441.66s
Iteration 15000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=156897446.8711 BestScore=30139229.2999 Temp=13580708.65 NoImprove=159 Restarts=19 Time=477.79s
Iteration 16000: BestViol=913.5790 BestAff=3792 BestCompact=147439.30 CurScore=119145242.8535 BestScore=30139229.2999 Temp=9403705.32 NoImprove=157 Restarts=21 Time=514.02s
