Iteration 0: BestViol=21450.7375 BestAff=0 BestCompact=96678.00 CurScore=214604052.9996 BestScore=214604052.9996 Temp=10730202.65 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=763.8475 BestAff=0 BestCompact=99157.81 CurScore=7796591.3151 BestScore=7737632.8112 Temp=71398.43 NoImprove=280 Restarts=0 Time=7.04s
Iteration 2000: BestViol=464.0925 BestAff=0 BestCompact=96857.02 CurScore=4737805.3744 BestScore=4737782.0244 Temp=475.08 NoImprove=229 Restarts=0 Time=11.93s
Iteration 3000: BestViol=355.2875 BestAff=0 BestCompact=96831.83 CurScore=3649706.8298 BestScore=3649706.8298 Temp=3.16 NoImprove=416 Restarts=0 Time=15.37s
Iteration 4000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=3603811.2063 BestScore=3603811.2063 Temp=0.02 NoImprove=7 Restarts=0 Time=19.30s
Iteration 5000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=155696392.9172 BestScore=3603811.2063 Temp=8204260.96 NoImprove=5 Restarts=2 Time=23.15s
Iteration 6000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=160465629.9108 BestScore=3603811.2063 Temp=10240361.87 NoImprove=3 Restarts=4 Time=27.61s
Iteration 7000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=336381986.3154 BestScore=3603811.2063 Temp=17444519.55 NoImprove=1 Restarts=6 Time=32.26s
Iteration 8000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=31531992.2320 BestScore=3603811.2063 Temp=1261295.28 NoImprove=500 Restarts=7 Time=36.66s
Iteration 9000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=33722101.3442 BestScore=3603811.2063 Temp=1622879.86 NoImprove=498 Restarts=9 Time=41.28s
Iteration 10000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=11044996.7922 BestScore=3603811.2063 Temp=501649.85 NoImprove=496 Restarts=11 Time=45.95s
Iteration 11000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=24303562.0438 BestScore=3603811.2063 Temp=652355.00 NoImprove=494 Restarts=13 Time=50.60s
Iteration 12000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=34028476.7668 BestScore=3603811.2063 Temp=1199558.59 NoImprove=492 Restarts=15 Time=55.25s
Iteration 13000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=29003268.7704 BestScore=3603811.2063 Temp=999762.91 NoImprove=490 Restarts=17 Time=59.89s
Iteration 14000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=33885156.9125 BestScore=3603811.2063 Temp=2084857.33 NoImprove=488 Restarts=19 Time=64.40s
Iteration 15000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=17944831.7521 BestScore=3603811.2063 Temp=1527039.54 NoImprove=486 Restarts=21 Time=68.85s
Iteration 16000: BestViol=350.7450 BestAff=0 BestCompact=96361.21 CurScore=35587333.8810 BestScore=3603811.2063 Temp=2162798.20 NoImprove=484 Restarts=23 Time=73.55s
