Iteration 0: BestViol=30462.9225 BestAff=0 BestCompact=185696.49 CurScore=304814921.4902 BestScore=304814921.4902 Temp=15240746.07 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=12045.7950 BestAff=0 BestCompact=180501.15 CurScore=120638481.4802 BestScore=120638451.1520 Temp=101411.45 NoImprove=31 Restarts=0 Time=5.21s
Iteration 2000: BestViol=7885.2350 BestAff=0 BestCompact=181980.60 CurScore=79034330.6007 BestScore=79034330.6007 Temp=674.79 NoImprove=2 Restarts=0 Time=9.05s
Iteration 3000: BestViol=7033.4000 BestAff=0 BestCompact=182501.21 CurScore=70516527.4818 BestScore=70516501.2057 Temp=4.49 NoImprove=90 Restarts=0 Time=12.10s
Iteration 4000: BestViol=6780.2475 BestAff=0 BestCompact=183599.86 CurScore=67986074.8575 BestScore=67986074.8575 Temp=0.03 NoImprove=97 Restarts=0 Time=14.92s
Iteration 5000: BestViol=6615.1650 BestAff=0 BestCompact=184491.25 CurScore=66336141.2515 BestScore=66336141.2515 Temp=0.00 NoImprove=37 Restarts=0 Time=17.68s
Iteration 6000: BestViol=6500.2475 BestAff=0 BestCompact=186013.71 CurScore=65188488.7134 BestScore=65188488.7134 Temp=0.00 NoImprove=53 Restarts=0 Time=20.38s
Iteration 7000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=455682443.2191 BestScore=64848375.1526 Temp=3447376.34 NoImprove=379 Restarts=1 Time=23.64s
Iteration 8000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=221707094.8340 BestScore=64848375.1526 Temp=1705909.55 NoImprove=377 Restarts=3 Time=28.43s
Iteration 9000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=323273146.0903 BestScore=64848375.1526 Temp=2129480.05 NoImprove=375 Restarts=5 Time=33.06s
Iteration 10000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=315073705.9062 BestScore=64848375.1526 Temp=2401168.28 NoImprove=373 Restarts=7 Time=37.62s
Iteration 11000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=327163839.5342 BestScore=64848375.1526 Temp=3010056.38 NoImprove=371 Restarts=9 Time=42.34s
Iteration 12000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=333886045.8963 BestScore=64848375.1526 Temp=3164492.85 NoImprove=369 Restarts=11 Time=47.54s
Iteration 13000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=498516144.5500 BestScore=64848375.1526 Temp=4819991.70 NoImprove=367 Restarts=13 Time=52.89s
Iteration 14000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=307362024.4650 BestScore=64848375.1526 Temp=3390110.94 NoImprove=365 Restarts=15 Time=58.15s
Iteration 15000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=654636637.6985 BestScore=64848375.1526 Temp=5019328.85 NoImprove=363 Restarts=17 Time=63.30s
Iteration 16000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=309794969.6977 BestScore=64848375.1526 Temp=3239293.27 NoImprove=361 Restarts=19 Time=68.35s
Iteration 17000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=407357496.5712 BestScore=64848375.1526 Temp=3734035.11 NoImprove=359 Restarts=21 Time=73.53s
Iteration 18000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=489923786.8090 BestScore=64848375.1526 Temp=3398167.87 NoImprove=357 Restarts=23 Time=78.52s
Iteration 19000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=331017828.7558 BestScore=64848375.1526 Temp=2646976.77 NoImprove=355 Restarts=25 Time=83.24s
Iteration 20000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=329200737.1885 BestScore=64848375.1526 Temp=3381801.79 NoImprove=353 Restarts=27 Time=87.73s
Iteration 21000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=421657699.4070 BestScore=64848375.1526 Temp=4122646.56 NoImprove=351 Restarts=29 Time=92.62s
Iteration 22000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=331304415.2126 BestScore=64848375.1526 Temp=2368395.41 NoImprove=349 Restarts=31 Time=97.50s
Iteration 23000: BestViol=6466.2475 BestAff=0 BestCompact=185900.15 CurScore=238430754.6809 BestScore=64848375.1526 Temp=2548392.65 NoImprove=347 Restarts=33 Time=102.45s
