Iteration 0: BestViol=30462.9225 BestAff=3633 BestCompact=222022.16 CurScore=324832747.1552 BestScore=324832747.1552 Temp=16241637.36 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=1253.1500 BestAff=3490 BestCompact=233671.16 CurScore=41207174.2962 BestScore=31960171.1645 Temp=4766653.23 NoImprove=14 Restarts=1 Time=38.53s
Iteration 2000: BestViol=290.4975 BestAff=3284 BestCompact=237347.34 CurScore=21204322.3369 BestScore=21204322.3369 Temp=31717.16 NoImprove=46 Restarts=1 Time=73.17s
Iteration 3000: BestViol=81.2650 BestAff=3280 BestCompact=236602.70 CurScore=19089252.6965 BestScore=19089252.6965 Temp=211.04 NoImprove=25 Restarts=1 Time=88.25s
Iteration 4000: BestViol=59.6150 BestAff=3271 BestCompact=236316.85 CurScore=18822966.8486 BestScore=18822966.8486 Temp=1.40 NoImprove=53 Restarts=1 Time=104.48s
Iteration 5000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=18285323.8704 BestScore=18285323.8704 Temp=0.01 NoImprove=70 Restarts=1 Time=117.02s
Iteration 6000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=223951795.5356 BestScore=18285323.8704 Temp=11646373.70 NoImprove=68 Restarts=3 Time=143.93s
Iteration 7000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=68716551.6140 BestScore=18285323.8704 Temp=12632267.44 NoImprove=66 Restarts=5 Time=182.51s
Iteration 8000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=50018679.6611 BestScore=18285323.8704 Temp=9944375.38 NoImprove=64 Restarts=7 Time=227.86s
Iteration 9000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=127756713.1628 BestScore=18285323.8704 Temp=12661845.76 NoImprove=62 Restarts=9 Time=269.63s
Iteration 10000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=203374410.8584 BestScore=18285323.8704 Temp=13392387.21 NoImprove=60 Restarts=11 Time=314.62s
Iteration 11000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=68609395.7840 BestScore=18285323.8704 Temp=13319489.76 NoImprove=58 Restarts=13 Time=366.55s
Iteration 12000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=127986807.1494 BestScore=18285323.8704 Temp=14109421.10 NoImprove=56 Restarts=15 Time=412.13s
Iteration 13000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=65822886.3693 BestScore=18285323.8704 Temp=6685153.39 NoImprove=54 Restarts=17 Time=453.75s
Iteration 14000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=139602120.8092 BestScore=18285323.8704 Temp=10044448.26 NoImprove=52 Restarts=19 Time=498.18s
Iteration 15000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=107633801.9265 BestScore=18285323.8704 Temp=10506079.55 NoImprove=50 Restarts=21 Time=542.12s
Iteration 16000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=83972240.8361 BestScore=18285323.8704 Temp=7288684.53 NoImprove=48 Restarts=23 Time=583.82s
Iteration 17000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=123235201.8490 BestScore=18285323.8704 Temp=14298934.63 NoImprove=46 Restarts=25 Time=629.31s
Iteration 18000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=165521100.1207 BestScore=18285323.8704 Temp=16427393.08 NoImprove=44 Restarts=27 Time=679.84s
Iteration 19000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=366311908.9530 BestScore=18285323.8704 Temp=19982598.85 NoImprove=42 Restarts=29 Time=722.64s
Iteration 20000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=127867666.7386 BestScore=18285323.8704 Temp=12890863.96 NoImprove=40 Restarts=31 Time=766.08s
Iteration 21000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=506375804.2546 BestScore=18285323.8704 Temp=26677366.59 NoImprove=38 Restarts=33 Time=813.65s
Iteration 22000: BestViol=8.0325 BestAff=3267 BestCompact=236498.87 CurScore=105534835.1418 BestScore=18285323.8704 Temp=13157350.92 NoImprove=36 Restarts=35 Time=863.91s
