Iteration 0: BestViol=43163.0650 BestAff=3555 BestCompact=193038.61 CurScore=451376188.6121 BestScore=451376188.6121 Temp=22568809.43 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=5549.0900 BestAff=3181 BestCompact=255869.87 CurScore=73369509.1241 BestScore=73242269.8693 Temp=150172.15 NoImprove=26 Restarts=0 Time=47.34s
Iteration 2000: BestViol=1757.6400 BestAff=3163 BestCompact=251530.43 CurScore=35224430.4305 BestScore=35224430.4305 Temp=999.24 NoImprove=40 Restarts=0 Time=74.07s
Iteration 3000: BestViol=1112.6425 BestAff=3165 BestCompact=251396.32 CurScore=28785321.3215 BestScore=28785321.3215 Temp=6.65 NoImprove=17 Restarts=0 Time=87.10s
Iteration 4000: BestViol=184.6425 BestAff=3161 BestCompact=250661.88 CurScore=19482586.8783 BestScore=19482586.8783 Temp=0.04 NoImprove=37 Restarts=0 Time=93.80s
Iteration 5000: BestViol=28.0050 BestAff=3159 BestCompact=250695.01 CurScore=17905245.0104 BestScore=17905245.0104 Temp=0.00 NoImprove=71 Restarts=0 Time=99.59s
Iteration 6000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=17882965.8995 BestScore=17882965.8995 Temp=0.00 NoImprove=108 Restarts=0 Time=105.00s
Iteration 7000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=475921711.5768 BestScore=17882965.8995 Temp=14223821.47 NoImprove=106 Restarts=2 Time=110.68s
Iteration 8000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=376620205.8463 BestScore=17882965.8995 Temp=10422236.81 NoImprove=104 Restarts=4 Time=116.61s
Iteration 9000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=344640462.4717 BestScore=17882965.8995 Temp=10475312.18 NoImprove=102 Restarts=6 Time=121.87s
Iteration 10000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=399552891.1757 BestScore=17882965.8995 Temp=12427511.13 NoImprove=100 Restarts=8 Time=127.74s
Iteration 11000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=426181366.1697 BestScore=17882965.8995 Temp=12153729.74 NoImprove=98 Restarts=10 Time=133.24s
Iteration 12000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=449239904.4219 BestScore=17882965.8995 Temp=15270827.88 NoImprove=96 Restarts=12 Time=139.15s
Iteration 13000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=262224610.2698 BestScore=17882965.8995 Temp=10843446.92 NoImprove=94 Restarts=14 Time=144.80s
Iteration 14000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=325614479.5422 BestScore=17882965.8995 Temp=11002197.96 NoImprove=92 Restarts=16 Time=150.45s
Iteration 15000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=305592814.9314 BestScore=17882965.8995 Temp=8995932.17 NoImprove=90 Restarts=18 Time=155.92s
Iteration 16000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=230179650.4068 BestScore=17882965.8995 Temp=8906353.75 NoImprove=88 Restarts=20 Time=161.82s
Iteration 17000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=371875196.7332 BestScore=17882965.8995 Temp=13455120.34 NoImprove=86 Restarts=22 Time=167.67s
Iteration 18000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=273804465.8548 BestScore=17882965.8995 Temp=11416478.86 NoImprove=84 Restarts=24 Time=173.74s
Iteration 19000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=251812882.5124 BestScore=17882965.8995 Temp=9616775.05 NoImprove=82 Restarts=26 Time=179.03s
Iteration 20000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=526055767.0085 BestScore=17882965.8995 Temp=19446018.35 NoImprove=80 Restarts=28 Time=184.40s
Iteration 21000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=523253495.7942 BestScore=17882965.8995 Temp=18042300.17 NoImprove=78 Restarts=30 Time=189.93s
Iteration 22000: BestViol=27.0025 BestAff=3157 BestCompact=249440.90 CurScore=338181396.7941 BestScore=17882965.8995 Temp=12625649.55 NoImprove=76 Restarts=32 Time=195.34s
