Iteration 0: BestViol=52852.5125 BestAff=3616 BestCompact=194625.23 CurScore=548607750.2255 BestScore=548607750.2255 Temp=27430387.51 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=4596.4350 BestAff=3510 BestCompact=198915.84 CurScore=125679214.7112 BestScore=65468265.8405 Temp=4699453.48 NoImprove=290 Restarts=1 Time=75.13s
Iteration 2000: BestViol=3159.6900 BestAff=3485 BestCompact=206006.70 CurScore=162518818.0527 BestScore=50970406.6998 Temp=10410041.29 NoImprove=217 Restarts=3 Time=135.93s
Iteration 3000: BestViol=1711.2075 BestAff=3229 BestCompact=190672.51 CurScore=36975419.3898 BestScore=35062247.5122 Temp=646530.71 NoImprove=307 Restarts=4 Time=195.23s
Iteration 4000: BestViol=1152.9225 BestAff=3178 BestCompact=209964.33 CurScore=29218189.3288 BestScore=29218189.3288 Temp=4302.00 NoImprove=28 Restarts=4 Time=258.36s
Iteration 5000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=29192451.1150 BestScore=29192451.1150 Temp=28.63 NoImprove=241 Restarts=4 Time=320.15s
Iteration 6000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=95425890.3023 BestScore=29192451.1150 Temp=6166367.61 NoImprove=239 Restarts=6 Time=382.23s
Iteration 7000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=90846505.4593 BestScore=29192451.1150 Temp=7487606.35 NoImprove=237 Restarts=8 Time=452.73s
Iteration 8000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=83839978.6895 BestScore=29192451.1150 Temp=8318380.75 NoImprove=235 Restarts=10 Time=520.30s
Iteration 9000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=87551765.7291 BestScore=29192451.1150 Temp=10016830.74 NoImprove=233 Restarts=12 Time=581.71s
Iteration 10000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=154651547.8678 BestScore=29192451.1150 Temp=12751690.11 NoImprove=231 Restarts=14 Time=649.95s
Iteration 11000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=98417997.8758 BestScore=29192451.1150 Temp=9323363.25 NoImprove=229 Restarts=16 Time=712.51s
Iteration 12000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=82652085.2298 BestScore=29192451.1150 Temp=10095786.97 NoImprove=227 Restarts=18 Time=775.82s
Iteration 13000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=96118878.0384 BestScore=29192451.1150 Temp=7303958.70 NoImprove=225 Restarts=20 Time=839.56s
Iteration 14000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=72816524.5768 BestScore=29192451.1150 Temp=9345781.27 NoImprove=223 Restarts=22 Time=909.27s
Iteration 15000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=83377606.7684 BestScore=29192451.1150 Temp=8428398.84 NoImprove=221 Restarts=24 Time=984.07s
Iteration 16000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=74105050.3308 BestScore=29192451.1150 Temp=7687305.86 NoImprove=219 Restarts=26 Time=1046.75s
Iteration 17000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=61924453.5293 BestScore=29192451.1150 Temp=8421273.99 NoImprove=217 Restarts=28 Time=1106.86s
Iteration 18000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=114343771.8456 BestScore=29192451.1150 Temp=11253848.97 NoImprove=215 Restarts=30 Time=1170.68s
Iteration 19000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=58442564.4976 BestScore=29192451.1150 Temp=6662188.87 NoImprove=213 Restarts=32 Time=1242.35s
Iteration 20000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=52642544.1178 BestScore=29192451.1150 Temp=11996587.03 NoImprove=211 Restarts=34 Time=1313.56s
Iteration 21000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=71577373.2451 BestScore=29192451.1150 Temp=8257421.06 NoImprove=209 Restarts=36 Time=1372.46s
Iteration 22000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=87467657.7601 BestScore=29192451.1150 Temp=11662822.98 NoImprove=207 Restarts=38 Time=1441.08s
Iteration 23000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=74237990.3755 BestScore=29192451.1150 Temp=13318902.21 NoImprove=205 Restarts=40 Time=1512.85s
Iteration 24000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=56471948.1859 BestScore=29192451.1150 Temp=14806862.33 NoImprove=203 Restarts=42 Time=1585.75s
Iteration 25000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=72358153.3422 BestScore=29192451.1150 Temp=9000801.46 NoImprove=201 Restarts=44 Time=1649.99s
Iteration 26000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=131812589.7603 BestScore=29192451.1150 Temp=11076983.00 NoImprove=199 Restarts=46 Time=1711.99s
Iteration 27000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=121688690.3407 BestScore=29192451.1150 Temp=6062245.95 NoImprove=197 Restarts=48 Time=1780.07s
Iteration 28000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=73841293.4971 BestScore=29192451.1150 Temp=12277721.10 NoImprove=195 Restarts=50 Time=1845.70s
Iteration 29000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=230288742.3712 BestScore=29192451.1150 Temp=17278163.51 NoImprove=193 Restarts=52 Time=1907.80s
Iteration 30000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=147506628.9501 BestScore=29192451.1150 Temp=9288562.43 NoImprove=191 Restarts=54 Time=1969.58s
Iteration 31000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=131436299.3204 BestScore=29192451.1150 Temp=11722606.59 NoImprove=189 Restarts=56 Time=2031.61s
Iteration 32000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=110153603.1260 BestScore=29192451.1150 Temp=12169617.29 NoImprove=187 Restarts=58 Time=2102.70s
Iteration 33000: BestViol=1152.5350 BestAff=3174 BestCompact=210101.11 CurScore=83751205.8153 BestScore=29192451.1150 Temp=9048557.27 NoImprove=185 Restarts=60 Time=2172.94s
