Iteration 0: BestViol=43163.0650 BestAff=0 BestCompact=185022.65 CurScore=431815672.6459 BestScore=431815672.6459 Temp=21590783.63 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=1892.2775 BestAff=0 BestCompact=192064.53 CurScore=19194725.9132 BestScore=19114839.5301 Temp=143664.40 NoImprove=109 Restarts=0 Time=14.67s
Iteration 2000: BestViol=1677.2750 BestAff=0 BestCompact=191115.43 CurScore=16963930.4872 BestScore=16963865.4318 Temp=955.94 NoImprove=213 Restarts=0 Time=26.02s
Iteration 3000: BestViol=1356.6400 BestAff=0 BestCompact=191158.38 CurScore=13757558.3829 BestScore=13757558.3829 Temp=6.36 NoImprove=282 Restarts=0 Time=31.40s
Iteration 4000: BestViol=1276.0025 BestAff=0 BestCompact=190939.67 CurScore=12950964.6699 BestScore=12950964.6699 Temp=0.04 NoImprove=225 Restarts=0 Time=34.26s
Iteration 5000: BestViol=1275.0000 BestAff=0 BestCompact=191252.52 CurScore=12941252.5242 BestScore=12941252.5242 Temp=0.00 NoImprove=468 Restarts=0 Time=36.42s
Iteration 6000: BestViol=1254.0000 BestAff=0 BestCompact=191267.60 CurScore=12731267.6050 BestScore=12731267.6050 Temp=0.00 NoImprove=93 Restarts=0 Time=38.48s
Iteration 7000: BestViol=1254.0000 BestAff=0 BestCompact=191267.60 CurScore=12731267.6050 BestScore=12731267.6050 Temp=0.00 NoImprove=1093 Restarts=0 Time=40.42s
Iteration 8000: BestViol=1254.0000 BestAff=0 BestCompact=191267.60 CurScore=12731267.6050 BestScore=12731267.6050 Temp=0.00 NoImprove=2093 Restarts=0 Time=42.41s
Iteration 9000: BestViol=1254.0000 BestAff=0 BestCompact=191267.60 CurScore=12731267.6050 BestScore=12731267.6050 Temp=0.00 NoImprove=3093 Restarts=0 Time=44.51s
Iteration 10000: BestViol=992.0025 BestAff=0 BestCompact=191270.34 CurScore=10111295.3450 BestScore=10111295.3450 Temp=0.00 NoImprove=607 Restarts=0 Time=46.59s
Iteration 11000: BestViol=992.0025 BestAff=0 BestCompact=191270.34 CurScore=10111295.3450 BestScore=10111295.3450 Temp=0.00 NoImprove=1607 Restarts=0 Time=48.67s
Iteration 12000: BestViol=992.0025 BestAff=0 BestCompact=191270.34 CurScore=10111295.3450 BestScore=10111295.3450 Temp=0.00 NoImprove=2607 Restarts=0 Time=50.69s
Iteration 13000: BestViol=992.0025 BestAff=0 BestCompact=191270.34 CurScore=10111295.3450 BestScore=10111295.3450 Temp=0.00 NoImprove=3607 Restarts=0 Time=52.70s
