Iteration 0: BestViol=8012.2075 BestAff=873 BestCompact=47707.30 CurScore=84971282.3003 BestScore=84971282.3003 Temp=4248564.12 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=307.3300 BestAff=863 BestCompact=56713.80 CurScore=7876513.8023 BestScore=7876513.8023 Temp=28269.81 NoImprove=12 Restarts=0 Time=4.12s
Iteration 2000: BestViol=258.3825 BestAff=864 BestCompact=57153.56 CurScore=7392990.2488 BestScore=7392978.5610 Temp=188.11 NoImprove=310 Restarts=0 Time=7.42s
Iteration 3000: BestViol=220.5000 BestAff=865 BestCompact=57334.98 CurScore=7019834.9809 BestScore=7019834.9809 Temp=1.25 NoImprove=543 Restarts=0 Time=10.20s
Iteration 4000: BestViol=217.9525 BestAff=865 BestCompact=57586.67 CurScore=6994611.6689 BestScore=6994611.6689 Temp=0.01 NoImprove=53 Restarts=0 Time=12.89s
Iteration 5000: BestViol=213.4000 BestAff=863 BestCompact=57471.15 CurScore=6937971.1533 BestScore=6937971.1533 Temp=0.00 NoImprove=600 Restarts=0 Time=16.02s
Iteration 6000: BestViol=212.5850 BestAff=863 BestCompact=57500.49 CurScore=6929850.4947 BestScore=6929850.4947 Temp=0.00 NoImprove=465 Restarts=0 Time=18.82s
Iteration 7000: BestViol=203.0375 BestAff=868 BestCompact=57929.70 CurScore=6862304.7041 BestScore=6862304.7041 Temp=0.00 NoImprove=402 Restarts=0 Time=21.67s
Iteration 8000: BestViol=162.2525 BestAff=867 BestCompact=57447.94 CurScore=6448472.9373 BestScore=6448472.9373 Temp=0.00 NoImprove=538 Restarts=0 Time=24.73s
Iteration 9000: BestViol=158.5850 BestAff=866 BestCompact=57044.68 CurScore=6405894.6825 BestScore=6405894.6825 Temp=0.00 NoImprove=167 Restarts=0 Time=27.81s
Iteration 10000: BestViol=158.5850 BestAff=866 BestCompact=57044.68 CurScore=6405894.6825 BestScore=6405894.6825 Temp=0.00 NoImprove=1167 Restarts=0 Time=30.79s
Iteration 11000: BestViol=156.3700 BestAff=864 BestCompact=56677.93 CurScore=6372377.9338 BestScore=6372377.9338 Temp=0.00 NoImprove=140 Restarts=0 Time=33.89s
Iteration 12000: BestViol=156.3700 BestAff=864 BestCompact=56677.93 CurScore=6372377.9338 BestScore=6372377.9338 Temp=0.00 NoImprove=1140 Restarts=0 Time=37.08s
Iteration 13000: BestViol=148.5850 BestAff=864 BestCompact=56661.53 CurScore=6294511.5291 BestScore=6294511.5291 Temp=0.00 NoImprove=487 Restarts=0 Time=40.05s
Iteration 14000: BestViol=148.5850 BestAff=864 BestCompact=56661.53 CurScore=6294511.5291 BestScore=6294511.5291 Temp=0.00 NoImprove=1487 Restarts=0 Time=43.19s
