Instance 2DU120-05-17 1	 objective 8521.42	 and values (0.00,0.00,8521.42)
Instance 2DU120-05-18 1	 objective 8529.24	 and values (0.00,0.00,8529.24)
Instance 2DU120-05-19 1	 objective 8401.41	 and values (0.00,0.00,8401.41)
Instance 2DU120-05-20 1	 objective 8615.42	 and values (0.00,0.00,8615.42)
Instance DU150-05-1 4	 objective 9603.79	 and values (0.00,0.00,9603.79)
Instance DU150-05-2 9	 objective 9445.33	 and values (0.00,0.00,9445.33)
Instance DU150-05-3 7	 objective 9125.60	 and values (0.00,0.00,9125.60)
Instance DU150-05-4 1	 objective 9397.09	 and values (0.00,0.00,9397.09)
Instance DU150-05-5 1	 objective 9541.02	 and values (0.00,0.00,9541.02)
Instance DU150-05-6 1	 objective 9071.91	 and values (0.00,0.00,9071.91)
Instance DU150-05-7 5	 objective 9930.02	 and values (0.00,0.00,9930.02)
Instance DU150-05-8 6	 objective 9258.28	 and values (0.00,0.00,9258.28)
Instance DU150-05-9 3	 objective 9791.75	 and values (0.00,0.00,9791.75)
Instance DU150-05-10 9	 objective 9603.48	 and values (0.00,0.00,9603.48)
Instance DU200-05-1 4	 objective 10572.77	 and values (0.00,0.00,10572.77)
Instance DU200-05-2 5	 objective 10818.49	 and values (0.00,0.00,10818.49)
Instance DU200-05-3 1	 objective 10891.33	 and values (0.00,0.00,10891.33)
Instance DU200-05-4 5	 objective 11308.19	 and values (0.00,0.00,11308.19)
Instance DU200-05-5 9	 objective 11035.38	 and values (0.00,0.00,11035.38)
Instance DU200-05-6 3	 objective 10680.72	 and values (0.00,0.00,10680.72)
Instance DU200-05-7 5	 objective 11306.47	 and values (0.00,0.00,11306.47)
Instance DU200-05-8 8	 objective 10884.71	 and values (0.00,0.00,10884.71)
Instance DU200-05-9 3	 objective 11541.27	 and values (0.00,0.00,11541.27)
Instance DU200-05-10 3	 objective 11162.36	 and values (0.00,0.00,11162.36)
